# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

409	ParentProperty
410	APBParticleParameterVector
411	Default__APBParticleParameterVector
412	FinalScale
413	<NULL>
414	<NULL>
415	<NULL>
416	MaximumOutput
417	MinimumOutput
418	HandbrakeMultiplier
419	ScaleSpeed
420	BiasSpeed
421	PreviewHandbrake
422	SpeedAffectsSlip
423	SpeedSignIndicatesDirection
424	ScaleLongSlipRatio
425	ScaleLatSlipAngle
426	APBParticleParameterVehicle
427	Default__APBParticleParameterVehicle
428	TargetVehicle
429	ParticleEmitter
430	Activated
431	APBSeqAct_VehicleParticleBinding
432	Default__APBSeqAct_VehicleParticleBinding
433	APBSeqEvent_Actor
434	Default__APBSeqEvent_Actor
435	AnimName
436	APBSeqEvent_AnimNotify
437	Default__APBSeqEvent_AnimNotify
438	BOMB_UNSET
439	BOMB_DEFUSED
440	BOMB_EXPLODED
441	APBSeqEvent_BombTaskTarget
442	Default__APBSeqEvent_BombTaskTarget
443	APBSeqEvent_Damage
444	Default__APBSeqEvent_Damage
445	APBSeqEvent_cAPBPawn
446	Default__APBSeqEvent_cAPBPawn
447	APBSeqEvent_cAPBVehicle
448	Default__APBSeqEvent_cAPBVehicle
449	APBSeqEvent_cProp
450	Default__APBSeqEvent_cProp
451	APBSeqEvent_cWeapon
452	Default__APBSeqEvent_cWeapon
453	APBSeqEvent_Pedestrian
454	Default__APBSeqEvent_Pedestrian
455	etTaskTargetVFXState
456	APBSeqEvent_TaskTarget
457	Default__APBSeqEvent_TaskTarget
458	etTaskTargetActionState
459	InteractingPlayer
460	APBSeqEvent_TaskTargetAction
461	Default__APBSeqEvent_TaskTargetAction
462	APBSeqEvent_TaskTargetAction_AntiGraffiti
463	Default__APBSeqEvent_TaskTargetAction_AntiGraffiti
464	APBSeqEvent_TaskTargetAction_Arson
465	Default__APBSeqEvent_TaskTargetAction_Arson
466	APBSeqEvent_TaskTargetAction_BombDisposal
467	Default__APBSeqEvent_TaskTargetAction_BombDisposal
468	APBSeqEvent_TaskTargetAction_Bombing
469	Default__APBSeqEvent_TaskTargetAction_Bombing
470	APBSeqEvent_TaskTargetAction_BreakIn
471	Default__APBSeqEvent_TaskTargetAction_BreakIn
472	APBSeqEvent_TaskTargetAction_Burglary
473	Default__APBSeqEvent_TaskTargetAction_Burglary
474	APBSeqEvent_TaskTargetAction_Bust
475	Default__APBSeqEvent_TaskTargetAction_Bust
476	APBSeqEvent_TaskTargetAction_CSI
477	Default__APBSeqEvent_TaskTargetAction_CSI
478	APBSeqEvent_TaskTargetAction_ForcedArrest
479	Default__APBSeqEvent_TaskTargetAction_ForcedArrest
480	APBSeqEvent_TaskTargetAction_ForcedEntry
481	Default__APBSeqEvent_TaskTargetAction_ForcedEntry
482	APBSeqEvent_TaskTargetAction_Graffiti
483	Default__APBSeqEvent_TaskTargetAction_Graffiti
484	APBSeqEvent_TaskTargetAction_Hacking
485	Default__APBSeqEvent_TaskTargetAction_Hacking
486	APBSeqEvent_TaskTargetAction_Hotwire
487	Default__APBSeqEvent_TaskTargetAction_Hotwire
488	APBSeqEvent_TaskTargetAction_Mugging
