208	APBGame.cSDD.etPawnHitReaction_BoneRemapTable	Enum	0x072AFEE8
209	APBGame.cSDD.etPawnHitReaction_Bool	Enum	0x072AFF38
210	APBGame.cSDD.etPawnHitReaction_ConstrainedBoneList	Enum	0x072AFF88
211	APBGame.cSDD.etPawnHitReaction_Float	Enum	0x072AFFD8
212	APBGame.cSDD.etPawnHitReaction_SpringList	Enum	0x072B0028
213	APBGame.cSDD.etPawnHitReaction_Vector2D	Enum	0x072B0078
214	APBGame.cSDD.etPawnHitReactionType	Enum	0x072B00C8
215	APBGame.cSDD.etPedestrianPaletteType	Enum	0x072B0118
216	APBGame.cSDD.etPedestrianTempSetup	Enum	0x072B0168
217	APBGame.cSDD.etPedestrianTTIReaction	Enum	0x072B01B8
218	APBGame.cSDD.etPlayerRadarPings	Enum	0x072B0208
219	APBGame.cSDD.etPopulation	Enum	0x072B0258
220	APBGame.cSDD.PrestigeEffect_None	Const	0x072B02A8
221	APBGame.cSDD.PrestigeLevel_None	Const	0x072B02F8
222	APBGame.cSDD.etPrimitiveType	Enum	0x072B0348
223	APBGame.cSDD.etProgressionFixup	Enum	0x072B0398
224	APBGame.cSDD.etPvPRule	Enum	0x072B03E8
225	APBGame.cSDD.etPvPType	Enum	0x072B0438
226	APBGame.cSDD.etRCEType	Enum	0x072B0488
227	APBGame.cSDD.etSecurityViolation	Enum	0x072ACE98
228	APBGame.APBGameInfo.SecurityViolation.m_bKick	BoolProperty	0x072B0580
229	APBGame.APBGameInfo.SecurityViolation.m_bBan	BoolProperty	0x072B05F8
230	APBGame.APBGameInfo.SecurityViolation.m_eSecurityViolation	ByteProperty	0x072B0670
231	APBGame.APBGameInfo.SecurityViolation.m_nBanDurationDays	IntProperty	0x072B06E8
232	APBGame.APBGameInfo.SecurityViolation.m_sKickMessage	StrProperty	0x072B0760
233	APBGame.APBGameInfo.SecurityViolation.m_sCategory	StrProperty	0x072B07D8
234	APBGame.APBGameInfo.SecurityViolation	ScriptStruct	0x072B04D8
235	APBGame.APBGameInfo.m_nMaxBounceUpdates	IntProperty	0x072B0850
236	APBGame.APBGameInfo.m_fTimeBetweenBounceUpdates	DoubleProperty	0x072B08C8
237	APBGame.APBGameInfo.m_nNumVisibilityRays	IntProperty	0x072B0940
238	APBGame.APBGameInfo.m_nMetagroupingInterval	IntProperty	0x072B09B8
239	APBGame.APBGameInfo.m_fGameplayPeriodicLastLogTime	DoubleProperty	0x072B0A30
240	APBGame.APBGameInfo.m_fGameplayLoggingPeriod	FloatProperty	0x072B0AA8
241	APBGame.APBGameInfo.m_sFeedbackMessageRow	StrProperty	0x072B0B20
242	APBGame.APBGameInfo.m_cfg_fLCDataLoggingTime	FloatProperty	0x072B0B98
243	APBGame.APBGameInfo.m_cfg_fPlayerDataLogFlushTime	FloatProperty	0x072B0C10
244	APBGame.APBGameInfo.m_cfg_fPlayerPostionDataLogTime	FloatProperty	0x072B0C88
245	APBGame.APBGameInfo.m_cfg_nPlayerDataLogVersion	IntProperty	0x072B0D00
246	APBGame.APBGameInfo.m_bMissionsSuspended	BoolProperty	0x072B0D78
247	APBGame.APBGameInfo.m_bMetagroupingMissionOffering	BoolProperty	0x072B0DF0
248	APBGame.APBGameInfo.m_bAlwaysUseMissionCache	BoolProperty	0x072B0E68
249	APBGame.APBGameInfo.m_bMatchmakingSameFactionPenalty	BoolProperty	0x072B0EE0
250	APBGame.APBGameInfo.m_bMatchmakingPreviousOppositionPenalty	BoolProperty	0x072B0F58
251	APBGame.APBGameInfo.m_cfg_bEnableLCDataLogging_Vehicle	BoolProperty	0x072B0FD0
252	APBGame.APBGameInfo.m_cfg_bEnableLCDataLogging_Ped	BoolProperty	0x072B1048
253	APBGame.APBGameInfo.m_cfg_bEnablePlayerDataLogging	BoolProperty	0x072B10C0
254	APBGame.APBGameInfo.m_bAllowGrenades	BoolProperty	0x072B1138
255	APBGame.APBGameInfo.m_bAllowInstantPlayerRestart	BoolProperty	0x072B11B0
256	APBGame.APBGameInfo.m_bLevelLoadsComplete	BoolProperty	0x072B1228
257	APBGame.APBGameInfo.m_CollisionGroupFreeList	StructProperty	0x072B12A0
258	APBGame.APBGameInfo.m_nRandomSeed	IntProperty	0x072B1318
259	APBGame.APBGameInfo.IsEntryLevel.ReturnValue	BoolProperty	0x072B1438
260	APBGame.APBGameInfo.IsEntryLevel	Function	0x072B1390
261	APBGame.APBGameInfo.GetEntryLevelName.ReturnValue	StrProperty	0x072B1558
262	APBGame.APBGameInfo.GetEntryLevelName	Function	0x072B14B0
263	APBGame.APBGameInfo.OnTimerPlayerLog	Function	0x072B15D0
264	APBGame.APBGameInfo.OnTimerLogTaskTargets	Function	0x072B1678
265	APBGame.APBGameInfo.ResetMaxRepFreqs	Function	0x072B1720
266	APBGame.APBGameInfo.RetAllowGrenades.ReturnValue	BoolProperty	0x072B1870
267	APBGame.APBGameInfo.RetAllowGrenades	Function	0x072B17C8
268	APBGame.APBGameInfo.LevelLoadsComplete	Function	0x072B18E8
269	APBGame.APBGameInfo.AllowCheats.ReturnValue	BoolProperty	0x072B1A38
270	APBGame.APBGameInfo.AllowCheats.P	ObjectProperty	0x072B1AB0
271	APBGame.APBGameInfo.AllowCheats	Function	0x072B1990
272	APBGame.APBGameInfo.StartMatchNative	Function	0x072B1B28
273	APBGame.APBGameInfo.StartPlayer.SpawnZone	ObjectProperty	0x072B1C78
274	APBGame.APBGameInfo.StartPlayer.NewPlayer	ObjectProperty	0x072B1CF0
275	APBGame.APBGameInfo.StartPlayer	Function	0x072B1BD0
276	APBGame.APBGameInfo.RestartPlayer.ReturnValue	BoolProperty	0x072B1E10
277	APBGame.APBGameInfo.RestartPlayer.NewPlayer	ObjectProperty	0x072B1E88
278	APBGame.APBGameInfo.RestartPlayer	Function	0x072B1D68
279	APBGame.APBGameInfo.AddInactivePRI.PC	ObjectProperty	0x072B1FA8
280	APBGame.APBGameInfo.AddInactivePRI.PRI	ObjectProperty	0x072B2020
281	APBGame.APBGameInfo.AddInactivePRI	Function	0x072B1F00
282	APBGame.APBGameInfo.Killed.nInventoryItemTypeID	IntProperty	0x072B2140
283	APBGame.APBGameInfo.Killed.DamageType	ClassProperty	0x072B21B8
284	APBGame.APBGameInfo.Killed.DeadPawn	ObjectProperty	0x072B2238
285	APBGame.APBGameInfo.Killed.DeadC	ObjectProperty	0x072B22B0
286	APBGame.APBGameInfo.Killed.KillerC	ObjectProperty	0x072B2328
287	APBGame.APBGameInfo.Killed	Function	0x072B2098
288	APBGame.APBGameInfo.EnterDistrict.PC	ObjectProperty	0x072B2448
289	APBGame.APBGameInfo.EnterDistrict	Function	0x072B23A0
290	APBGame.APBGameInfo.ExitDistrict.PC	ObjectProperty	0x072B2568
291	APBGame.APBGameInfo.ExitDistrict	Function	0x072B24C0
292	APBGame.APBGameInfo.StartHumans	Function	0x072B25E0
293	APBGame.APBGameInfo.PlayerCanRestartGame.ReturnValue	BoolProperty	0x072B2730
294	APBGame.APBGameInfo.PlayerCanRestartGame.aPlayer	ObjectProperty	0x072B27A8
295	APBGame.APBGameInfo.PlayerCanRestartGame	Function	0x072B2688
296	APBGame.APBGameInfo.OnTick.fTimeElapsed	FloatProperty	0x072B28C8
297	APBGame.APBGameInfo.OnTick	Function	0x072B2820
298	APBGame.APBGameInfo.PostSeamlessTravel	Function	0x072B2940
299	APBGame.APBGameInfo.CallKilledBase.nWeaponType	IntProperty	0x072B2A90
300	APBGame.APBGameInfo.CallKilledBase.DamageType	ClassProperty	0x072B2B08
301	APBGame.APBGameInfo.CallKilledBase.DeadPawn	ObjectProperty	0x072B2B88
302	APBGame.APBGameInfo.CallKilledBase.DeadC	ObjectProperty	0x072B2C00
303	APBGame.APBGameInfo.CallKilledBase.KillerC	ObjectProperty	0x072B2C78
304	APBGame.APBGameInfo.CallKilledBase	Function	0x072B29E8
305	APBGame.APBGameInfo.CallStartMatchBase	Function	0x072B2CF0
306	APBGame.APBGameInfo.PendingMatch	State	0x072B2D98
307	APBGame.APBGameInfo.PostBeginPlay	Function	0x072B2E68
308	APBGame.APBGameInfo.PostLogin.NewPlayer	ObjectProperty	0x072B2FB8
309	APBGame.APBGameInfo.PostLogin	Function	0x072B2F10
310	APBGame.APBGameInfo.GetRandomBotSpawnZone.ReturnValue	ObjectProperty	0x072B30D8
311	APBGame.APBGameInfo.GetRandomBotSpawnZone	Function	0x072B3030
312	APBGame.APBGameInfo.Login.stateFileName	StrProperty	0x072B31F8
313	APBGame.APBGameInfo.Login.PC	ObjectProperty	0x072B3270
314	APBGame.APBGameInfo.Login.ReturnValue	ObjectProperty	0x072B32E8
315	APBGame.APBGameInfo.Login.ErrorMessage	StrProperty	0x072B3360
316	APBGame.APBGameInfo.Login.Options	StrProperty	0x072B33D8
317	APBGame.APBGameInfo.Login.Portal	StrProperty	0x072B3450
318	APBGame.APBGameInfo.Login	Function	0x072B3150
319	APBGame.APBGameInfo.SetGroupLeader.nLeaderUID	IntProperty	0x072B36D8
320	APBGame.APBGameInfo.SetGroupLeader.PC	ObjectProperty	0x072B3750
321	APBGame.APBGameInfo.SetGroupLeader.nGroupUID	IntProperty	0x072B37C8
322	APBGame.APBGameInfo.SetGroupLeader	Function	0x072B3630
323	APBGame.APBGameInfo.SetPlayerDefaults.ApbPawn	ObjectProperty	0x072B38E8
324	APBGame.APBGameInfo.SetPlayerDefaults.PlayerPawn	ObjectProperty	0x072B3960
325	APBGame.APBGameInfo.SetPlayerDefaults	Function	0x072B3840
326	APBGame.APBGameInfo.CanPlayerInstantRestart.ReturnValue	BoolProperty	0x072B3BA0
327	APBGame.APBGameInfo.CanPlayerInstantRestart	Function	0x072B3AF8
328	APBGame.APBGameInfo.SuspendMissions	Function	0x072B3C18
329	APBGame.APBGameInfo	Class	0x0F73EF40
330	APBGame.Default__APBGameInfo	APBGameInfo	0x06CA34F0
331	APBGame.APBGameViewportClient.__HandleTick__Delegate	DelegateProperty	0x072B3CC0
332	APBGame.APBGameViewportClient.m_nEnsureFadeInStacks	IntProperty	0x072B3DE8
333	APBGame.APBGameViewportClient.m_bForceFadeIn	BoolProperty	0x072B3E60
334	APBGame.APBGameViewportClient.m_bUserCurrentlyInactive	BoolProperty	0x072B3ED8
335	APBGame.APBGameViewportClient.m_fUserInactiveTime	FloatProperty	0x072B3F50
336	APBGame.APBGameViewportClient.m_fCurrentInactivityTimeout	FloatProperty	0x072B3FC8
337	APBGame.APBGameViewportClient.m_pFocusInteraction	ObjectProperty	0x072B4040
338	APBGame.APBGameViewportClient.m_MainViewportSize	StructProperty	0x072B40B8
339	APBGame.APBGameViewportClient.m_MainViewportOffset	StructProperty	0x072B4130
340	APBGame.APBGameViewportClient.BeginEnsureUIVisible	Function	0x072B41A8
341	APBGame.APBGameViewportClient.EndEnsureUIVisible	Function	0x072B4250
342	APBGame.APBGameViewportClient.ForceFadeIn	Function	0x072B42F8
343	APBGame.APBGameViewportClient.SetSplitscreenConfiguration.Idx	IntProperty	0x072B4448
344	APBGame.APBGameViewportClient.SetSplitscreenConfiguration.SplitType	ByteProperty	0x072B44C0
345	APBGame.APBGameViewportClient.SetSplitscreenConfiguration	Function	0x072B43A0
346	APBGame.APBGameViewportClient.HandleTick.DeltaTime	FloatProperty	0x072B4538
347	APBGame.APBGameViewportClient.HandleTick	Function	0x072B3D40
348	APBGame.APBGameViewportClient.DrawTransition.Canvas	ObjectProperty	0x072B4658
349	APBGame.APBGameViewportClient.DrawTransition	Function	0x072B45B0
350	APBGame.APBGameViewportClient.SetMainViewport.VSize	StructProperty	0x072B4778
351	APBGame.APBGameViewportClient.SetMainViewport.vOffset	StructProperty	0x072B47F0
352	APBGame.APBGameViewportClient.SetMainViewport	Function	0x072B46D0
353	APBGame.APBGameViewportClient.GetNumCustomInteractions.ReturnValue	IntProperty	0x072B4910
354	APBGame.APBGameViewportClient.GetNumCustomInteractions	Function	0x072B4868
